excel_row,stop_id,id,id_num,csv_stop_id,retained_rows,unique_month_hours,station_latitude,station_longitude,weather_latitude,weather_longitude,max_coordinate_offset_degrees
106,735,735,735,735,288,288,50.3869,4.992,50.40000000000026,5.000000000000128,0.013100000000264345
107,742,742,742,742,288,288,42.9082,23.8798,42.90000000000016,23.9000000000002,0.020200000000201612
108,746,746,746,746,288,288,42.3084,23.0957,42.30000000000015,23.10000000000019,0.00839999999984542
109,747,747,747,747,288,288,42.1656,24.7494,42.20000000000015,24.70000000000021,0.0493999999997925
110,750,750,750,750,288,288,41.6359,23.2007,41.600000000000136,23.20000000000019,0.03589999999986304
111,754,754,754,754,288,288,43.5484,26.4772,43.50000000000016,26.50000000000024,0.04839999999983746
112,755,755,755,755,288,288,43.162,23.6398,43.20000000000016,23.6000000000002,0.03979999999980066
113,758,758,758,758,288,288,42.7168,23.298,42.70000000000015,23.3000000000002,0.01679999999984716
114,763,763,763,763,288,288,42.2977,22.6802,42.30000000000015,22.700000000000184,0.01980000000018478
115,766,766,766,766,288,288,42.192,25.1914,42.20000000000015,25.20000000000022,0.008600000000217989
116,770,770,770,770,288,288,41.9079,25.971,41.90000000000014,26.00000000000023,0.02900000000023084
117,772,772,772,772,288,288,41.3817,23.3625,41.40000000000013,23.4000000000002,0.03750000000020037
118,777,777,777,777,288,288,43.47,25.6893,43.50000000000016,25.700000000000227,0.03000000000016456
119,779,779,779,779,288,288,43.3384,26.8162,43.30000000000016,26.80000000000024,0.03839999999983945
120,781,781,781,781,288,288,43.2551,27.4436,43.30000000000016,27.40000000000025,0.04490000000016181
121,783,783,783,783,288,288,43.0988,25.63,43.10000000000016,25.600000000000225,0.029999999999773763
122,785,785,785,785,288,288,43.0532,24.1957,43.10000000000016,24.200000000000205,0.046800000000160935
123,809,809,809,809,288,288,41.9697,23.0958,42.00000000000014,23.10000000000019,0.030300000000138994
124,811,811,811,811,288,288,41.9418,25.6078,41.90000000000014,25.600000000000225,0.04179999999985995
125,825,825,825,825,288,288,43.9317,22.8384,43.90000000000017,22.800000000000185,0.03839999999981458
126,828,828,828,828,288,288,43.8697,26.0178,43.90000000000017,26.00000000000023,0.030300000000167415
127,834,834,834,834,288,288,43.4384,24.5528,43.40000000000016,24.60000000000021,0.04720000000020974
128,835,835,835,835,288,288,43.4018,23.2555,43.40000000000016,23.3000000000002,0.04450000000019827
129,844,844,844,844,288,288,42.9452,22.9032,42.90000000000016,22.900000000000187,0.045199999999837814
130,855,855,855,855,288,288,42.6833,27.2801,42.70000000000015,27.30000000000025,0.019900000000248497
131,863,863,863,863,288,288,42.2723,24.288,42.30000000000015,24.300000000000207,0.02770000000015216
132,869,869,869,869,288,288,42.1189,25.3898,42.10000000000014,25.400000000000222,0.018899999999852923
133,875,875,875,875,288,288,41.7929,26.186,41.80000000000014,26.20000000000024,0.01400000000024093
134,887,887,887,887,288,288,47.6829,8.7163,47.70000000000022,8.700000000000115,0.0171000000002266
135,895,895,895,895,288,288,47.4224,9.2616,47.40000000000022,9.300000000000113,0.03840000000011301
136,906,906,906,906,288,288,47.212,8.6716,47.200000000000216,8.700000000000115,0.028400000000115
137,912,912,912,912,288,288,46.9653,8.3858,47.00000000000021,8.400000000000116,0.034700000000214004
138,914,914,914,914,288,288,46.8561,9.506,46.90000000000021,9.500000000000112,0.04390000000021388
139,915,915,915,915,288,288,46.6062,6.9558,46.60000000000021,7.000000000000121,0.04420000000012081
140,917,917,917,917,288,288,46.7731,7.0932,46.80000000000021,7.10000000000012,0.026900000000210866
141,929,929,929,929,288,288,46.0419,7.1481,46.0000000000002,7.10000000000012,0.048099999999879905
142,930,930,930,930,288,288,46.0006,8.913,46.0000000000002,8.900000000000114,0.012999999999886214
143,931,931,931,931,288,288,47.1379,9.0502,47.100000000000215,9.100000000000112,0.04980000000011131
144,936,936,936,936,288,288,47.5275,7.7006,47.50000000000022,7.700000000000118,0.027499999999783142
145,940,940,940,940,288,288,46.9901,7.4767,47.00000000000021,7.500000000000119,0.023300000000118892
146,944,944,944,944,288,288,46.4635,9.1865,46.500000000000206,9.200000000000111,0.036500000000202704
147,953,953,953,953,288,288,47.5306,8.8527,47.50000000000022,8.900000000000114,0.047300000000113585
148,975,975,975,975,288,288,46.77,6.6571,46.80000000000021,6.700000000000122,0.04290000000012206
149,977,977,977,977,288,288,46.7262,8.6211,46.70000000000021,8.600000000000115,0.026199999999789725
150,983,983,983,983,288,288,46.3188,8.0342,46.3000000000002,8.000000000000117,0.03419999999988299
151,984,984,984,984,288,288,46.3092,7.7111,46.3000000000002,7.700000000000118,0.01109999999988176
152,986,986,986,986,288,288,46.2224,9.042,46.2000000000002,9.000000000000114,0.04199999999988613
153,990,990,990,990,288,288,47.2287,7.6218,47.200000000000216,7.600000000000119,0.02869999999978745
154,991,991,991,991,288,288,47.0421,7.3869,47.00000000000021,7.400000000000119,0.04209999999978464
155,1003,1003,1003,1003,288,288,47.4668,9.475,47.50000000000022,9.500000000000112,0.03320000000022105
156,1010,1010,1010,1010,288,288,47.3937,8.5034,47.40000000000022,8.500000000000115,0.006300000000216244
157,1011,1011,1011,1011,288,288,47.1974,8.0652,47.200000000000216,8.100000000000117,0.03480000000011607
158,1013,1013,1013,1013,288,288,47.229,7.2244,47.200000000000216,7.20000000000012,0.0289999999997832
159,1021,1021,1021,1021,288,288,46.7127,9.4453,46.70000000000021,9.400000000000112,0.04529999999988732
160,1022,1022,1022,1022,288,288,46.1843,7.026,46.2000000000002,7.000000000000121,0.02599999999987901
161,1026,1026,1026,1026,288,288,46.5743,9.4167,46.60000000000021,9.400000000000112,0.025700000000206558
162,1029,1029,1029,1029,288,288,46.3699,6.2284,46.400000000000205,6.200000000000124,0.03010000000020341
163,1034,1034,1034,1034,288,288,46.2189,6.0623,46.2000000000002,6.100000000000124,0.03770000000012441
164,1048,1048,1048,1048,288,288,47.3412,7.2224,47.30000000000022,7.20000000000012,0.04119999999978319
165,1050,1050,1050,1050,288,288,47.3104,7.8471,47.30000000000022,7.800000000000118,0.047099999999882236
166,1053,1053,1053,1053,288,288,47.1191,8.3747,47.100000000000215,8.400000000000116,0.02530000000011512
167,1056,1056,1056,1056,288,288,46.9839,8.6122,47.00000000000021,8.600000000000115,0.01610000000021472
168,1057,1057,1057,1057,288,288,46.9611,7.211,47.00000000000021,7.20000000000012,0.03890000000021132
169,1063,1063,1063,1063,288,288,46.4385,6.9148,46.400000000000205,6.900000000000121,0.03849999999979303
